author_title;review_rating;review_text
Maria Sharangovich;5;"I came here to make SKTT for Kitas extension. Amazing helpful support I got from Diwani & her colleagues. She explained everything very clearly and helped to prepare the documents I needed. Thanks for that. It’s was a rare thing for me to meet in a public government places like that.

(Diterjemahkan oleh Google)
Saya datang ke sini untuk membuat SKTT untuk ekstensi Kitas. Dukungan luar biasa yang saya dapatkan dari Diwani & rekan-rekannya. Dia menjelaskan semuanya dengan sangat jelas dan membantu menyiapkan dokumen yang saya butuhkan. Terima kasih untuk itu. Itu adalah hal yang langka bagi saya untuk bertemu di tempat pemerintahan umum seperti itu."
Purnami Dewi;5;Pelayanan Rama, bagus, dan tidak menunggu lama untuk mengurus KTP digital.
agus megatritama;5;Pelayanannya CS bagus, tapi security nya kurang ramah banyakan main hp 😃 ga ada senyumnya
Wynnie Adams;3;Saya pembuatan KTP/KK perubahan data sudah 6 bulan lebih. Saya pergi membuat SIM staff infokan data saya masih KTP lama dan nama lama 🫠 kok tidak di update di system….
Putrianita;3;Udh mau 1 minggu buat kk ga kelar2 tidak langsung dikasi tahu semua kekurangan di berkas malah dikasi tahu satu2 dan setiap kekurangan dikerjakan  besoknyaa dipersulit sekali :(
Sita;4;"Tempatnya bersih  ,bagus
Saya Bolak balik ....2x kesini
Untuk yang mau membuat ktp tapi kk nya diluar daerah bukan kk bali  ,  supaya tidak bolak-balik kesana
Saya ada info
Kk kalian harus sudah ber barcode . Klo belum ,silahkan urus dulu didaerah masing2
Kemudian siapkan fc kk 1 lembar
Kemudian masuk web dukcapil denpasar , daftar ktp online luar denpasar
Datang ke gedung ,  proses foto dan dll
Kemudian Ambil ktp fisik di daerah asal  kartu kelg -mu
Demikian lah sekilaf info dari saya  . Trimksh"
Dian Calleia;1;Nunggu 5 jam hanya untuk ke bagian informasi. Ridiculous. Di loket hanya ada 2 orang. Kadang 1.
Gatot Arsono;5;"Dengan adanya ""Taring Dukcapil"" SGT membantu, saya mengurus KK dr rmh lewat hp sambil ngempu anak, pagi daftar siang sdh selesai (asalkan berkas""nya komplit) jd kita tinggal foto"" aja tuh berkas. Pas ambil di kantor pun cpt, karna kita lgsng cetak di mesinnya gk sampek  5 menit jd dah."
Anna Stacy;1;Aneh sekali... Mau cetak eKTP untuk penyesuaian data dari luar daerah dengan KK YANG BARU BER-BARCODE tidak bisa, padahal hanya tinggal scan barcode saja dan dicetak ulang ktpnya kok terasa sulit sekali
Heltha Papeo;5;Dispenduk Capil Kota Denpasar sangat inovatif.. petugasnya ramah-ramah, para pejabat n kepala dinasnya sangat baik.. kami peserta PKP angkatan IX sangat senang terimakasih dispendukcapil Kota Denpasar…🙏🙏🙏
William Gates;1;"Kalau mau cetak ktp luar bali ga bakal bisa. Ditolak entah apa alasannya. Padahal menteri kependudukan kita sudah umumkan diberbagai platform bahwa dukcapil tidak boleh menolak permintaan cetak ktp luar daerah sekalipun.

Persyaratan cetak ktp hanya KK dan surat kehilangan polisi. Semua sudah saya sertakan tetap tidak bisa. Katanya data untuk dicetak tidak ada sedangkan pas di cek melalui loket informasi data saya ada. Malah disuruh tanya dukcapil asal. Dukcapil asal saya sudah katakan bahwa data saya ada dan aman saja. Saya sempat mau urus ini secara online melalui taring dukcapil dan email ke dukcapil. Katanya akan diproses eh ujung2ny saya disuruh datang lagi. Saya coba datang lagi dan katanya data ga ada alias ga bisa dicetak. Terus untuk apa suruh saya datang? Untuk apa ada taring dukcapil? Kata bagian percetakan, taring dukcapil itu cuma untuk ambil nomor antrian. Lah saya datang saja malah disuruh  ngambil nomor antrian lagi wkwkw. Kacauuu ya allah kacau ini pelayanan dukcapil.

GWS ya pelayanan pemerintahan yang super bobrok. Ga usah bayar pajak juga. Buat apa bayar pajak. Boro2 mau bayar pajak dan bikin NPWP apalah. Ngurus KTP aja ga becus. Saya ga punya KTP asli sekarang jadi saya cetak sendiri saja pake blanko sendiri dengan file yang saya edit. Ga akan ada keadilan di negara ini. Harus main curang dan saya yakin termasuk di dukcapil ini pasti penuh dengan kecurangan alias korupsi. harus pake calo baru beres surat2nya. Gimana pemerintah mau menuntaskan para calo kalo ngurus pelayanan cetak KTP aja ga bisa. Gpp lah jadi pelajaran dan jadi tanda kebobrokan👌.

Edit: dapat balasan disini katanya udh bisa dicetak. Jangan sampe ini jadi penipuan dan hoax ya. Udh kenyang saya dibohongin. Di email juga sempat bilang sedang diproses dan silahkan datang tapi pas datang nihil. Apanya yang diproses. Ngecek data aja katanya ga ada. Jangan2 balesan ini cuma untuk dapet ulasan bagus tapi dengan cara bohong."
Galuh Rahayu;5;Pelayanannya sangat baik 😇
Juan Kenneth;1;"Untuk membuat akta perkawinan saya harus merubah KK 2x dan mencetak KTP 2x, proses pencatatan sipil sangat tidal efisien.

Apabila terdapat data yg kurang atau tidak sesuai, hal tersebut tidak disampaikan sekaligus, namun satu per satu.

Setiap revisi baru diproses hari berikutnya, dan karena permasalahan disampaikan satu per satu. Seluruh proses memakan waktu yg jauh lebih lama dari seharusnya.

Staff yg mengurus sangat tidak ramah dan tak bisa diajak berdiskusi untuk menyelesaikan permasalahan.

Telpon seringkali tidak dapat dihubungi."
陳沙麗;5;Trimakasih Banyak untuk Ducapil Denpasar sy yg luar warga denpasar sy warga Banyuwangi tp sy bisa membuat ktp di denpasar,mempermudah urusan tidak hrs jauh pulang kampung yg butuh waktu 6 jam kesana,pokoknya layanan Ducapil Denpasar The best dech👍👍👍👍👍
Feri Puja;5;Sangat bermanfaat dan sangat membantu masyarakat untuk mengakses KTP lebih mudah
Yanuardzi Pratama;5;Pelayanan sangat baik dan memiliki terobosan Inovasi yang bisa dijadikan contoh buat daerah lain
Wicaksana Gede Ngurah;5;Pelayanan yang sangat mudah dan cepat, semoga bisa diikuti oleh Kabupaten/Kota lainnya di Bali. Terimakasih🙏🙏
Julia Wati;5;Dalam pengurusan e KTP sangat cepat dan petugas ramah dan sopan
Agung Yudaputra;5;Sangat memudahkan masyarakat kota Denpasar dalam pengurusan administrasi kependudukan
KOMANG AYU HENNY ACHJAR;5;Terima kasih, sudah sangat melayani di Poltekkes Kemenkes denpasar
Ni Kt Nita Krisna Dewi;5;Pengalaman saya yaitu petugas sangat baik dan ramah
Dewa Ayu Krisna;5;Pelayanannya baik, semoga semakin di tingkatkan 🙏
desak suarningsih;5;Pelayanan online sangat membantu,proses cepat dan transparan
ddk;4;bagus, tapi apakah bisa ganti tempat kelahiran di ktp jika di kk tempat kelahiran diganti? dan apa bisa sekalian foto juga diganti tapi foto yg kita foto sendiri, bukan foto yg diambil langsung ditempat ini ?
07. I Gusti Ayu Ketut etya Ugidiasari;5;pelayanannya bagus dan mudah untuk di registrasi dan dibawa kmnapun dan kapanpun
martha jaya;5;Prosudural dgn sistem online , sebenarnya simple . Cuma info dan pengetahuan masyarakat yg minim , baik tentang persyaratan administrasi maupun pengetahuan technologi nya . Yg diperlukan masyarakat cuma banyak bertanya ke petugas informasi di capil . Moga info ini berguna , berdasar pengalaman saya pribadi dalam ngurus KK dan surat pindah .
wira kusuma;5;Layanan cepat dan bisa dilakukan darimana saja via taringdukcapil.
Ni Made Dina Aprilianti;5;Pelayanan ramah dan pembuatan surat sudah melalui online sehingga mempermudah masyarakat
nadia risna;5;Pelayanannya bagus, ruang tunggunya juga nyaman 👍
d p';5;"Terimakasih atas proses yg sangat luar biasa cepat atas dokumen yg kami mohonkan secara daring beberapa hari lalu.
Kami sudah menerimanya, terimakasih untuk  pelayanan yg  ramah serta  membantu.
Sukses selalu Team Dukcapil🙏"
google remote;5;LAYANAN SANGAT BAGUS, APALAGI INOVASI TARINGDUKCAPIL SECARA ONLINE DAN SUDAH ADA ATM ANJUNGAN SEHINGGA MEMUDAHKAN MENCETAK SECARA MANDIRI, SAYA KASI BINTANG 5.
I nyoman Wirata;5;Mantaap.layanannya cepat ramah lugasss menyesaikan tugas🙏🙏🙏
Habib Ali;1;Udah 5 kali ngajuin online tapi ditolak terus, padahal berkas pertama tinggal 1 surat yang kurang jelas tulisannya, tapi kalo di zoom Masi keliatan. Sudah di kirim ulang malah disuruh dateng ke capil lagi, terus malah disuruh buat ulang surat kesana kemari. Udah semua beres tinggal ngirim ehhh di tolak lagi. Malah Giliran yang lain yang kurang, padahal cuman krna tulisan ketebalan disuruh ulang minta TTD sana sini. Emang fitur komputer gaada zoom ya buat baca itu tulisan?. Anak anak aja bisa kok disuruh baca ini malah disuruh ulang ulang mulu alasan ga jelas.
aais mahadewi;5;Pelayanan cepat karena sekarang ada Taring Dukcapil 👍
Trisna Dewi;5;Terimakasih buat petugas dibagian pengaduan sudah membantu saya untuk pengaplutan berkas akta kawin,nya saya karena isi pengadilan filenya terlalu besar dan saya tidak bisa sudah bolak balik dan akhir saya dibantu sama mbaknya dipengaduan sama mbak ewik.suksema salam sejahtera
Muhammad Arifin Ilham_25;1;minimal bisa jawab wa kalau ada orang bertanya jangan hanya dibaca saja
art zsone;4;Dengan adanya Antrian Online sangat bermanfaat dan sesuai dgn waktubyg tertera di nomer antrian. So, pelayanan publik yg diintegrasi dgn teknologi IT sangat bermanfaat.
AR.Rachman K;5;Pendaftaran online cepat prosesnya, mantap, ruang tunggu jg nyaman saat pengurusan langsung ke kantornya
Ferry Renaldo;1;"PELAYANAN SANGAT BURUK!
TIDAK RAMAH! TIDAK KOMUNIKATIF! INFORMASI YANG DIBERIKAN RANCU DAN TIDAK JELAS!

SEPERTINYA ORANG YANG BEKERJA DISINI MENYURUH MASYARAKAT MENGGUNAKAN “CALO”"
009_Ni Putu Ayu Yudanti;5;Sangat responsif dan pelayanannya baik dan staff disini ramah dan memberikan informasi dengan jelas👍
Marsha Silvenia Devine;4;Gedungnya gede seperti mall. Gatau pas  lucky atau apa pas kesini mau ambil KK prosesnya cepat ga lama dan ga bertele2, staff2nya juga terbilang ramah security nya juga ramah. Dan utk pelayanan wa dukcapil itu sangat di apresiasi soalnya lumayan terbilang fast respon dan membantu mengarahkan urusan perpindahan penduduk dgn jelas
Benita Ayu Chrystallia Jaya;3;Pelayanan terkait dokumen di disdukcapil ini dipermudah dengan online melalui taringdukcapil.denpasarkota.go.id dan dokumen jg bisa dikirim lewat grab atau ambil langsung. Cuma pas ambil langsung jujur bingung karena td   kebetulan datang mepet jam 12 jd sudah tdk ada nomor antrian dan di masing-masing loket jg tdk ada tanda itu loket nomor brp, mungkin bisa ditambahkan nomor loketnya. Agak bingung juga staffnya dan orang yg datang kesini pakaiannya mirip jadi gak ngeh yg mana staff mana orang mau urus dokumen heheh. Tapi gpp udh ok pelayanannya.
Gadis Carenza;1;pelayanan jelek, bilang tempat print deket, padahal udah last minute masih disuruh keluar cari print, jaman udah modern ditawarin lewat pdf gak mau, mempersulit orang urus surat lol
Komang Gede putrawan;4;proses cepat dan modern...sesuai kebutuhan zaman sekarang....klo bs utk daftar user dikembalikan sprti awal,kapan pun bisa tanpa hrus mnunggu jam kerja
Onasis Totel;1;Mau urus surat ijin tinggal non permanen aja masih ribet, saya datang langsung gak bisa, malah suruh daftar online.padahal saya mau urus untuk persyaratan bayar pajak motor saya sendiri.
Jeanytha Gein;5;Pelayanannya cepat dan orang²nya ramah polll🫶🏻😍
Risal Pramana;5;Sangat Baik dan Dua jempol pelayanannya sangat cepat dan staffnya ramah ramah. Bangga menjadi Warga Denpasar
Bawa Ardika;1;Menurut informasi terbaru dikatakan sudah bisa ganti foto e-ktp tapi setelah sampai di loket e-ktp malah tidak bisa dengan alasan sekali seumur hidup padahal persyaratan sudah lengkap entah petugasnya malas atau memang tidak ingin membantu tapi yg pasti petugas e-ktp sungguh mengecewakan pantas melihat review bnyak yg mengkritik petugas loket e-ktp ini ternyata memang benar adanya !!
Sultan Byzant;1;Sangat lambat penanganan nya, petugas tidak menjelaskan secara lugas dan rinci,
ayu waisantini;5;Mengurus administrasi kependudukan di denpasar lebih cepat dan mudah
Atai Mkv;5;Kami sangat membutuhkan untuk mendapatkan akta kelahiran untuk anak saya.  Karyawan sangat membantu, mereka berhubungan dan kami bisa mendapatkan sertifikat dengan cepat.  Terima kasih untuk bantuannya 🫶🙏
foker wijaya;1;saya heran di sistem online mereka bisa cetak ulang KTP elektronik luar Denpasar dan karena saya KTP Jembrana saya kesana untuk cetak ulang sesuai persyaratan yg diminta tapi sampai sana mereka bilang KTP Jembrana ini bukan luar Bali jadi ke Jembrana saja. harusnya buat saja luar Bali di sistem nya jangan luar Denpasar. gak jelas banget buang2 waktu saja percuma buat sistem seperti itu.
oka saljana;5;Pengalaman saya dukcapil denpasar sudah dapat memberikan pelayanan dengan baik, semoga dapat ditingkatkan terus
ayu waisantini;5;Mengurus administrasi kependudukan di denpasar lebih cepat dan mudah
Atai Mkv;5;Kami sangat membutuhkan untuk mendapatkan akta kelahiran untuk anak saya.  Karyawan sangat membantu, mereka berhubungan dan kami bisa mendapatkan sertifikat dengan cepat.  Terima kasih untuk bantuannya 🫶🙏
foker wijaya;1;saya heran di sistem online mereka bisa cetak ulang KTP elektronik luar Denpasar dan karena saya KTP Jembrana saya kesana untuk cetak ulang sesuai persyaratan yg diminta tapi sampai sana mereka bilang KTP Jembrana ini bukan luar Bali jadi ke Jembrana saja. harusnya buat saja luar Bali di sistem nya jangan luar Denpasar. gak jelas banget buang2 waktu saja percuma buat sistem seperti itu.
oka saljana;5;Pengalaman saya dukcapil denpasar sudah dapat memberikan pelayanan dengan baik, semoga dapat ditingkatkan terus
Tegal Harum;5;Pelayanan mantap, luar biasa..
I Wayan Gunartha;5;Pelayanan online semakin cepat tidak nambah ribet
Dian Anastasia;5;Cepet pelayanannya, lokasi strategis mantapp
Joe Wasia;5;Ngurus ktp hilang keluar daerah langsung ama bu Lu Deh Susilawati langsung jadi pelayanan ramah makasih
Joand Maullete;5;"Sangat memuaskan,,,
Kemarin saya kesini urus cetak ulang KTP yg rusak. Pengajuan daring dari bulan Maret dan dapat antrean bulan Juni, nggak apa² sih.
Datang pagi2 ambil no antrean, nunggu bentar walau didahuluin sama ibu² yg belakang saya, kasih bukti pendaftaran telegram, sat set, sat set. KTP baru langsung jadi. Lumayan memuaskan kalau dibandingkan dengan dukcapil di daerah asal saya. sangat memuaskan,  Terima kasih dukcapil kota denpasar 🥰
Semoga makin bagus pelayanannya"
Bella Naira;5;Pelayanan cepat, proses nya cepat, gedung bersih. respon pelayanaan mantap
Tradhip Igoesto;5;"Pelayanan Online sangat memuaskan..
1jam selesai"
Putu Dama;1;"Sorry saya review jelek, kejadian tahun lalu. Saya mengurus akta kematian orang tua saya. Kalau tidak siap online, jangan pakai kata2 ONLINE, jadwal input kacau, file pdf tidak terbaca, saya harus bolak-balik verifikasi berkas manual. Saat cetak barcode via mesin, hanya terkirim satu barcode di email, saya ""pikir"" akan tercetak dua dokumen, akta kematian dan KK baru, ternyata yang tercetak hanya KK baru. Saya tanya petugas jaga mesin disana yang baru muncul kembali setelah satu jam merokok dan ngopi, ""KATANYA"" tinggal cetak manual di counter. Ternyata sampai sana harus antre lagi sejam lebih dan mendapat pelayanan tidak ramah dari staff perempuan. Saya protes baik-baik, bu, saya pilih online karena saya pikir bisa menghemat waktu dan tenaga, kalau semua jatuhnya manual begini saya kesulitan karena mengganggu jam kerja saya. Tidak diduga jawabannya tidak simpatik, kalau bapak tidak mau ikut aturan tidak usah diurus pak.
To be honest, saya ikuti aturan main kalian dari awal and looks what i've got?  Saya minta bicara dengan atasannya, Atasannya pria paruh baya ternyata sigap dan solutif, saya berterimakasih.

Tolong lah di didik lagi BEHAVIOUR pegawai frontlinernya, saya tidak mengetahui apakah pegawainya ASN atau bukan, tapi mereka adalah wajah institusi kalian. Terimakasih."
Yogi Lesmana Putra (yogidollir);5;"Pelayananya cepat
Stafnya ramah
Bisa onlen"
Wayan Suarniti;5;Pelayanan goes to campus kereen👏
Ocean79;5;Terima kasih ,sdh di respon cepat pengurusan KTP digital..
Rezky Dwi;1;"Benar benar mengecewakan, sudah datang ke kantornya malah disruh pulang buat online. Trus gunanya petugas duduk disana apa? Sudah jauh jauh datang kenapa tidak dilayani langsung? Nama instansinya pelayanan publik tpi melayani publik yg datang dia bisa. Apa apa online, ujung""nya ambil berkas yg sudah jadi harus ke kantornya juga sangat tidak efisien. Buruk."
Putu Tirta Juliawan;5;Pelayanan cepat dan ramah
eka yana;5;Pelayanannya sangat baik dan cepat 👍
Kevin;4;"pelayanan online cukup bagus, tapi tampilan website kurang friendly.

bahkan mau registrasi onlinepun harus mengikuti jam kerja kantor, seharusnya bisa regis kapanpun, namun diproses di hari kerja.

CS cukup lama balas chatnya, tapi cukup membantu.

Setelah semua data lengkap, SKPWNI saya pun jadi hanya dalam waktu setengah hari, dan bs lsg diambil besok.

Sudah cukup bagus, semoga bisa ditingkatkan lagi"
Vennesia Stephany;4;Sebenarnya sudah lumayan bagus. Proses pengerjaan dokumen di Taring Dukcapil sangat cepat, kasus saya upload jam 8, jam 12 sudah bisa dicetak di ADM (walaupun masih ada yang terlewat diganti saat perubahan data). Tempat rapih dan bersih. Satpam dan frontliner nya juga baik ramah dan membantu mengarahkan. Sayangnya saat mau cetak KTP, di tempat ini diutamakan untuk orang-orang dari luar daerah, warga Denpasar walaupun sudah ke tempat ini tetap disuruh ke kantor camat masing-masing atau disuruh menunggu lebih siang lagi (entah kapan, jam kerjanya saja sampai jam 11/13). Saran saya semoga kedepannya tidak dibeda-bedakan pelayanannya, karena cetak baru tidak perlu waktu lama dan kami warga Denpasar juga sama-sama mengantri di nomor antrian yang sama
Meytha Prima;4;Sempat mengurus akte kelahiran dan penggantian KK karena perubahan data, proses cepat, efektif dan efisien waktu (taring dukcapil) petugas pelayanan sangat ramah. Ruang tunggu yg luas, bersih dan nyaman. Smg tetap dapat dipertahankan
Anti Andari;5;Admin online fast respon dan info yang diberikan sangat jelas sehingga memudahkan proses
Raden Susanto;5;Terimakasih mbak yang dipengaduan sudah menolong saya bantu daftar online karena saya tidak paham sma sekali daftar online,nya.semoga pelayanannya tetap seperti ini terus bisa menolong semua orang
seri adnyani desak nyoman;5;Pelayanan perekaman data siswa di SMAN 3 DENPASAR
dewi supariani;5;Petugas dari Dinas Kependudukan sangat baik melayani.
Eko Purnomo;1;Pelayanan pencetakan petugas foto  e KTP  namanya Surya jelek banget pak pelayanannya orangnya kalau bisa di ganti aja saya tadi ngambil KTP responnya dan penjelasannya jelek banget masak saya mau cetak KTP baru pertama kali mau buat KTP di mintain KTP lama padahal belum pernah punya KTP  saya kasih penjadwalan e KTP dari telegram hp saya tegasnya nggak mau baca petugasnya asal ngomong aja
Ryan Naben22;5;KTP (NTT) Saya hilang di proses sangat Cepat dan pelayanan nya sangat memuaskan👏
B_052_Ni Luh Yunita Damayanti;5;Pelayanan memuaskan
